source_key,catalogue_measurements,catalogue_objects,growth_plottable_measurements,growth_plottable_objects,selection_model_status,parent_sample_n,published_selected_n,survey_area_arcmin2,completeness_kind,completeness_value,completeness_scope,published_threshold,inverse_weighting_allowed,demographic_use,verification_date,notes,pooled_demographic_inference_allowed,catalogue_inverse_probability_weight,inference_gate_reason,science_release,input_catalogue_release
baccus26_nirspec_blagn,49,49,49,49,source_local_partial,not_reported,111,not_reported,compiled spectroscopic census,not_reported,published JWST/NIRSpec broad-line census,not_reported,false,descriptive_only,2026-09-03,Compilation provides census membership rather than a uniform parent selection function; 49 new mass-bearing objects are retained.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
chavezortiz26_ghz2,1,1,0,0,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
chisholm24_gn42437_nev,1,1,0,0,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
davis26_thrils_blagn,6,6,6,6,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
fei26_glimpse_blagn,10,10,10,10,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
greene24_uncover_blagn,9,9,9,9,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
harikane23_nirspec_blagn,10,10,10,10,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
juodzbalis25_jades_blagn,23,23,23,23,source_local_partial,not_reported,34 over z=1.5-9,not_reported,published source-local selection analysis,not_reported,JADES spectroscopy with paper-defined broad-line cuts,not_reported,false,source_local_luminosity_function_only,2026-09-03,The atlas uses the z>=4 subset; source-local luminosity-function results cannot be pooled across surveys.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
killi24_j0647_lrd_blagn,1,1,1,1,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
kocevski25_lrd_blagn,6,6,6,6,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
larson23_ceers1019,1,1,1,1,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
lin24_aspire_blagn,16,16,16,16,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
lyu24_smiles_miri_agn,19,19,0,0,source_local_partial,3273,217 overall; 20 high-z,34,source-local SED selection assessment,not reducible to one fraction,SMILES MIRI-detected parent; atlas retains 19 new z>4 candidates,not_reported,false,source_local_fraction_only,2026-09-03,The source discusses incompleteness and contamination; the atlas does not infer object-level inclusion probabilities.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
maiolino24_gnz11_agn,1,1,1,1,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
mascia26_compact_blue_ble,8,8,0,0,source_local_partial,4145,20,not_reported,line-luminosity threshold statement,complete above stated threshold within parent and cuts,"DJA PRISM parent after broad-line, colour, and compactness criteria",broad Halpha luminosity >= 10^42.7 erg/s; FWHM > 2000 km/s; S/N >= 5,false,descriptive_only,2026-09-03,The catalogue retains eight identity-audited new objects; source does not publish unconditional BH masses or an inclusion probability per object.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
matthee23_eiger_fresco_blagn,20,20,20,20,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
mazzolari24_ceers_nlagn,25,25,0,0,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
meow26_miri_agn,12,12,0,0,source_local_partial,not_reported,16,95,published luminosity-function correction,source-local only,MEOW z=4.5-6 MIRI-selected luminosity function,not_reported,false,source_local_luminosity_function_only,2026-09-03,Twelve of the 16 published objects are new after identity review; published LF machinery is not transferred into atlas weights.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
naidu26_mom_bhstar1,1,1,0,0,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
napolitano25_ghz9,1,1,0,0,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
ren25_alpine_cristal_jwst_blagn_candidates,7,7,7,7,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
scholtz25_jades_narrow_line_agn,21,21,0,0,source_local_partial,209,42,not_reported,source_local_parent_fraction,0.20 +/- 0.03,full published z=2-10 JADES parent; catalogue retains the z>=4 subset,not_reported,false,source_local_fraction_only,2026-09-03,Published parent and selected counts support only the paper-defined JADES fraction; no cross-survey weight.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
skyfire26_ceers_blagn,22,22,22,22,source_local_partial,178,34,not_reported,spectroscopic completeness,0.73,photometric LRDs with beta_opt > -0.02 in the CEERS study,not_reported,false,source_local_fraction_only,2026-09-03,Published 73% completeness is phenotype- and source-local; it is not a weight for the atlas union catalogue.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
tang25_high_ionization,3,3,0,0,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
taylor24_ceers_rubies_blagn,37,36,37,36,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.,False,,no validated cross-source inclusion-probability model; use only the declared source-local scope,v3-shared-science,v3-dataset-catalogue
