source_key,selection_model_status,parent_sample_n,published_selected_n,survey_area_arcmin2,completeness_kind,completeness_value,completeness_scope,published_threshold,inverse_weighting_allowed,demographic_use,verification_date,notes
baccus26_nirspec_blagn,source_local_partial,not_reported,111,not_reported,compiled spectroscopic census,not_reported,published JWST/NIRSpec broad-line census,not_reported,false,descriptive_only,2026-09-03,Compilation provides census membership rather than a uniform parent selection function; 49 new mass-bearing objects are retained.
chavezortiz26_ghz2,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
chisholm24_gn42437_nev,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
davis26_thrils_blagn,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
fei26_glimpse_blagn,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
greene24_uncover_blagn,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
harikane23_nirspec_blagn,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
juodzbalis25_jades_blagn,source_local_partial,not_reported,34 over z=1.5-9,not_reported,published source-local selection analysis,not_reported,JADES spectroscopy with paper-defined broad-line cuts,not_reported,false,source_local_luminosity_function_only,2026-09-03,The atlas uses the z>=4 subset; source-local luminosity-function results cannot be pooled across surveys.
killi24_j0647_lrd_blagn,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
kocevski25_lrd_blagn,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
