source_key,mbh_method,calibration_tag,line_species,calibration_reference,calibration_equation,reported_systematic_dex,systematic_scope,source_support,scenario_policy,notes
juodzbalis25_jades_blagn,single-epoch-virial-halpha,reines-volonteri2015-halpha,Halpha,Reines & Volonteri (2015),Juodzbalis et al. (2026) equation 4,0.3,calibration uncertainty,JADES Section 4 explicitly states 0.3 dex calibration uncertainty,separate source-specific +/-0.3 dex scenario; keep separate from statistical fit errors,Do not silently merge with reported statistical errors.
juodzbalis25_jades_blagn,single-epoch-virial-hbeta,vestergaard-peterson2006-hbeta,Hbeta,Vestergaard & Peterson (2006),Juodzbalis et al. (2026) equation 5,,not numerically specified by source,JADES Section 4 identifies the estimator and extinction caveat but gives no numeric calibration uncertainty,unavailable until a source-backed scenario is reviewed,Assumed Av=0 may underestimate masses and luminosities; no systematic value is inferred.
taylor24_ceers_rubies_blagn,single-epoch-virial-halpha-reines2013,reines2013-halpha,Halpha,Reines et al. (2013),Taylor et al. Table 1 mass method,0.5,approximate virial-calibration systematic,Taylor et al. source notes and catalogue provenance,separate source-specific +/-0.5 dex scenario,Keep separate from formal posterior errors.
matthee23_eiger_fresco_blagn,single-epoch-virial-halpha-reines2013,reines2013-halpha,Halpha,Reines et al. (2013),Matthee et al. Tables 1-3 mass method,0.5,intrinsic/calibration uncertainty,Matthee et al. source notes and catalogue provenance,separate source-specific +/-0.5 dex scenario,Keep separate from formal line-fit errors.
lin24_aspire_blagn,single-epoch-virial-halpha-reines2013,reines2013-halpha,Halpha,Reines et al. (2013),Lin et al. Tables 1-3 mass method,0.5,intrinsic/calibration uncertainty,Lin et al. source notes and catalogue provenance,separate source-specific +/-0.5 dex scenario,Keep separate from formal line-fit errors.
harikane23_nirspec_blagn,single-epoch-virial-halpha-greeneho2005,greene-ho2005-halpha,Halpha,Greene & Ho (2005),Harikane et al. (2023) equation 1,,not numerically specified by source,Harikane et al. Section 3.4 identifies the estimator but states no numeric calibration systematic,unavailable until a source-backed scenario is reviewed,Keep blank and separate from published asymmetric statistical errors.
davis26_thrils_blagn,single-epoch-virial-halpha-reinesvolonteri2015,reines-volonteri2015-halpha,Halpha,Reines & Volonteri (2015),Davis et al. (2026) equation 1,0.5,intrinsic scatter in single-epoch black-hole mass recipes,Davis et al. Section 3.1 and Appendix Table 5,separate source-specific +/-0.5 dex scenario,Keep separate from formal posterior errors propagated from broad-Halpha flux and FWHM.
ren25_alpine_cristal_jwst_blagn_candidates,single-epoch-virial-halpha-reines2013,reines2013-halpha,Halpha,Reines et al. (2013),Ren et al. (2025) equation 4,0.4,single-epoch virial calibration systematic,Ren et al. Section 3.1 and published Table 1,separate source-specific +/-0.4 dex scenario,Masses for six candidate rows are conditional on the broad component being BLR; keep the systematic separate from formal errors.
greene24_uncover_blagn,single-epoch-virial-halpha,source-adopted-balmer-virial,Halpha,Greene et al. (2024),Table 3,,reported uncertainties retained,Greene et al. Tables 1 and 3,retain published uncertainty,Masses are demagnified using the source lens model.
greene24_uncover_blagn,single-epoch-virial-hbeta,source-adopted-balmer-virial,Hbeta,Greene et al. (2024),Table 3,,reported uncertainties retained,Greene et al. Tables 1 and 3,retain published uncertainty,UNCOVER-20466 uses broad Hbeta because Halpha is outside the covered range.
kocevski25_lrd_blagn,single-epoch-virial-halpha,source-dust-corrected-balmer-virial,Halpha,Kocevski et al. (2025),Table 5 dust-corrected mass,0.5,single-epoch virial calibration scatter,Kocevski et al. Table 5,separate source-specific +/-0.5 dex scenario,Dust-corrected mass is the admitted canonical value.
kocevski25_lrd_blagn,single-epoch-virial-hbeta,source-dust-corrected-balmer-virial,Hbeta,Kocevski et al. (2025),Table 5 dust-corrected mass,0.5,single-epoch virial calibration scatter,Kocevski et al. Table 5,separate source-specific +/-0.5 dex scenario,Dust-corrected mass is the admitted canonical value.
skyfire26_ceers_blagn,single-epoch-virial-halpha,reines2013-halpha,Halpha,Reines et al. (2013),Skyfire Table 3,0.5,single-epoch virial calibration scatter,Skyfire Section VI,separate source-specific +/-0.5 dex scenario,Only z>=4 rows with a numerical Table 3 mass are admitted.
larson23_ceers1019,single-epoch-virial-hbeta,source-adopted-hbeta-virial,Hbeta,Larson et al. (2023),Published CEERS 1019 estimate,,reported uncertainty retained,Larson et al. (2023),retain published uncertainty,Broad-Hbeta identification has lower significance than most Balmer detections in v2.
killi24_j0647_lrd_blagn,single-epoch-virial-halpha,source-adopted-halpha-virial,Halpha,Killi et al. (2024),Published J0647-1045 estimate,0.5,single-epoch virial calibration scatter,Killi et al. (2024),separate source-specific +/-0.5 dex scenario,Published asymmetric linear mass errors are represented in log space.
ubler24_zs7_offset_blagn,single-epoch-virial-hbeta,greene-ho2005-hbeta,Hbeta,Greene & Ho (2005),Uebler et al. Table 2,,0.4 dex calibration scatter included in published uncertainty,Uebler et al. Section 5,retain published uncertainty,Only the offset Type-1 nucleus has a direct virial mass.
maiolino24_gnz11_agn,single-epoch-virial-uv-permitted-lines,source-adopted-uv-virial,UV permitted lines,Maiolino et al. (2024),Published GN-z11 estimate,,reported uncertainty retained,Maiolino et al. (2024),secondary UV-method comparison stratum,GN-z11 is v3-only and is not pooled with Balmer single-epoch masses.
